ID,DEPARTAMENTO,REFERENCIA,DESCRIPCION,VIA AFECTADA,FECHA,LONG,LAT,EVENTO,FUENTE,HubName,HubDist,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territoria,tramo,sector,administra,ruta,length_km,corrlog
"9621",TOLIMA,Túnel de Sumapaz,(Aplica en un solo sentidos),Girardot - Bogotá,2020/10/12,-74.56678363,4.26474138499998,Accidente,40 EXPRESS,"273",5171.14423185794,"40050","4005","0",211,"62",980,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Girardot - Fusagasugá,"2",,111.43698919418,1. Bogotá-B/ventura-Ipiales
"9622",TOLIMA,Sin referencia,"En la vía Variante Chicoral, km 0 y 18+200, aplica en ambos sentidos. Día 19 de marzo desde las 07:20 hasta las 10:00 horas. Rutas alternas: 1. Ibagué – Rovirá – Gualanday – Espinal – Flandes – Girardot. 2. Ibagué – Alvarado – Venadillo – Lérida – Cambao - Ambalema – Guataquí – Nariño. 3. Ibagué – Mariquita, Ruta Nacional 4305 hasta la vía Variante Norte de Ibagué, Ruta Nacional 40TLG para luego dirigirse al aeropuerto. Resolución 00960 del 18 de marzo de 2023.",Variante Chicoral,2023/03/19,-74.90128856,4.23359734500002,Evento Deportivo,LA RUTA COLOMBIA,"274",1180.51515906515,4004B0,4004B,"0",0,"23",800,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Chicoral,"2",,51.4644685346992,1. Bogotá-B/ventura-Ipiales
"9623",TOLIMA,Todo el tramo vial,"(Aplica en ambos sentidos) Resolución 002335 del 07 de octubre de 2020, autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo denominado “XVIII VUELTA AL TOLIMA Y V VUELTA AL TOLIMA FEMENINA”, Etapa 3.",Ibagué – Mariquita,2020/10/10,-74.906016752,4.87735772399998,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"479",13223.0019041476,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
"9624",TOLIMA,Puente Nacional de Fresno,(Aplica en ambos sentidos),Manizales - Fresno,2020/12/29,-75.023917877,5.16418822399999,Rescate de vehículo,DITRA,"198",6870.65610599101,"50070","5007","0",0,"26",695,"24",Transversal Las Animas - Bogotá,Fresno - Mariquita,"1",,26.0369401522311,2. Cali-Medellín-Cartagena
"9625",TOLIMA,Padua,(Aplica en ambos sentidos),Manizales - Fresno,2020/12/30,-75.144080841,5.13837204800001,Accidente,DITRA,"479",38086.8127880028,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
"9626",TOLIMA,Sin referencia,(Aplica en ambos sentidos),Manizales - Mariquita,2020/12/31,-75.159702026,5.139739819,Derrumbe,DITRA,"92",11897.7111461526,"50060","5006","0",0,"82",1000,"05",Transversal Las Animas - Bogotá,Puente La Libertad - Fresno,"1",,82.2876187734807,2. Cali-Medellín-Cartagena
"9627",TOLIMA,Sin referencia,(Aplica en ambos sentidos),Girardot - Melgar,2021/01/02,-74.693977408,4.22196191900002,Agrupación de personas,DITRA,"273",10094.4681139133,"40050","4005","0",211,"62",980,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Girardot - Fusagasugá,"2",,111.43698919418,1. Bogotá-B/ventura-Ipiales
"9628",TOLIMA,Sin referencia,"En la vía Variante Chicoral - Girardot, km 3 y 6, aplica en ambos sentidos. Día 19 de marzo de 2023 desde las 08:15 hasta las 10:30 horas. Rutas alternas: 1. Ibagué – Rovirá – Gualanday – Espinal – Flandes – Girardot. 2. Ibagué – Alvarado – Venadillo – Lérida – Cambao - Ambalema – Guataquí – Nariño. 3. Ibagué – Mariquita, Ruta Nacional 4305 hasta la vía Variante Norte de Ibagué, Ruta Nacional 40TLG para luego dirigirse al aeropuerto. Resolución 00960 del 18 de marzo de 2023.",Variante Chicoral - Girardot,2023/03/19,-74.874477064,4.25247649599999,Evento Deportivo,LA RUTA COLOMBIA,"567",4530.40903723256,"450745","4507","45",0,"61",0,"24",Troncal del Magdalena,El Espinal - Girardot,"2",,19.3668321865325,1. Bogotá-B/ventura-Ipiales
"9629",TOLIMA,Fresno,Vía Honda - Manizales por parte de las autoridades en el sector Fresno. Aplica en ambos sentidos. No hay ruta alterna.,Manizales - Honda,2021/06/04,-75.03679248,5.15461413600002,Evento Especial,DITRA,"198",8561.38593718462,"50070","5007","0",0,"26",695,"24",Transversal Las Animas - Bogotá,Fresno - Mariquita,"1",,26.0369401522311,2. Cali-Medellín-Cartagena
"9630",TOLIMA,Curvas del Rio Recio,(Aplica en ambos sentidos),Ibagué - Mariquita,2021/01/04,-74.933342908,4.79592474700002,Mantenimiento vial,DITRA,"479",9051.25213644522,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
